
First:


Group 1
0;0;0;0;1;1;
0;1;0;0;0;1;
0;0;1;1;1;0;
0;0;0;0;0;1;
0;0;0;0;0;0;
0;1;0;0;0;0;

Group 2
0;0;0;0;1;0;
0;0;0;0;0;1;
1;0;1;0;0;0;
1;0;1;1;0;0;
0;0;1;1;0;0;
1;0;0;0;1;0;

Group 3
1;0;0;0;0;1;
1;1;0;1;1;1;
1;0;0;1;0;1;
1;0;1;0;1;0;
1;0;0;1;1;1;
1;0;0;0;0;0;

Group 4
0;1;0;0;1;0;
0;0;0;1;0;0;
0;0;0;0;1;0;
0;0;0;0;0;1;
0;1;1;0;1;1;
0;0;0;1;0;0;

Teacher 1
0;0;0;0;1;0;
0;0;0;0;1;1;
0;0;0;1;1;0;
0;0;0;0;0;0;
1;1;1;1;0;0;
0;0;0;1;1;0;

Teacher 2
0;1;0;0;0;1;
0;1;0;1;0;0;
1;0;1;0;0;0;
0;0;0;1;0;1;
0;0;0;0;0;0;
1;0;0;0;0;0;

Teacher 3
1;0;0;0;0;0;
0;1;0;0;0;0;
0;0;0;1;0;1;
1;0;0;0;0;0;
0;0;1;1;1;0;
0;1;0;0;0;0;

Teacher 6
0;0;0;0;0;0;
1;0;0;0;0;1;
1;0;0;0;0;0;
1;0;1;0;1;0;
0;0;0;0;0;1;
1;0;0;0;0;0;

Teacher 4
0;0;0;0;1;1;
0;0;0;0;0;0;
0;0;1;0;1;0;
0;0;0;0;0;1;
0;0;0;0;0;1;
0;0;0;0;0;0;

Teacher 5
0;0;0;0;1;0;
0;0;0;1;0;1;
0;0;0;0;0;0;
0;0;1;0;0;0;
0;0;0;0;1;0;
0;0;0;0;0;0;

Last:


Group 1
0;0;0;0;0;1;
0;0;0;0;0;0;
1;1;1;0;0;0;
0;1;0;0;0;0;
0;0;1;0;0;1;
0;1;0;0;1;0;

Group 2
1;0;0;1;1;0;
1;0;0;0;1;0;
0;0;1;0;0;1;
0;1;0;0;0;0;
0;1;1;0;1;0;
0;0;0;0;0;0;

Group 3
0;1;0;1;1;0;
1;0;0;0;0;1;
0;1;1;1;1;1;
1;0;1;0;1;1;
0;1;0;0;1;1;
0;0;1;0;0;0;

Group 4
1;0;1;0;0;0;
0;0;1;1;0;1;
1;0;0;1;0;1;
0;0;0;1;0;0;
0;0;0;1;0;0;
0;0;0;0;0;0;

Teacher 1
1;1;1;0;0;0;
1;0;0;1;0;0;
0;0;1;0;0;0;
0;1;0;0;1;0;
0;0;1;0;1;0;
0;0;1;0;0;0;

Teacher 2
0;0;0;0;0;1;
1;0;1;0;0;0;
1;1;1;0;0;1;
0;0;0;0;0;0;
0;0;0;0;1;1;
0;0;0;0;0;0;

Teacher 3
0;0;0;0;0;0;
0;0;0;0;0;0;
1;1;0;1;0;0;
0;1;1;1;0;0;
0;1;0;0;0;0;
0;1;0;0;1;0;

Teacher 6
1;0;0;0;0;0;
0;0;0;0;1;1;
0;0;1;0;0;1;
1;0;0;0;0;0;
0;1;1;0;0;0;
0;0;0;0;0;0;

Teacher 4
0;0;0;1;1;0;
0;0;0;0;0;0;
0;0;0;0;0;1;
0;0;0;0;0;1;
0;0;0;1;0;1;
0;0;0;0;0;0;

Teacher 5
0;0;0;1;1;0;
0;0;0;0;0;1;
0;0;0;1;1;0;
0;0;0;0;0;0;
0;0;0;0;0;0;
0;0;0;0;0;0;

First:


Group 1
0;0;0;1;1;0;
0;0;1;1;1;0;
0;0;1;0;0;0;
0;1;1;0;0;1;
0;0;0;0;0;0;
0;0;0;0;0;0;

Group 2
0;0;0;1;0;1;
0;1;0;0;0;0;
0;1;0;1;0;0;
0;0;1;1;0;0;
1;0;0;0;0;0;
1;0;1;1;0;0;

Group 3
1;1;1;1;0;0;
1;1;1;0;0;0;
1;0;0;1;1;1;
0;1;0;0;1;0;
0;1;1;1;0;1;
0;0;0;1;0;0;

Group 4
0;0;0;0;0;0;
0;0;0;0;0;0;
1;1;1;1;1;0;
0;0;0;0;0;0;
1;1;0;1;0;0;
0;1;0;0;1;0;

Teacher 1
0;0;1;1;0;1;
0;0;0;0;1;0;
0;0;0;0;1;0;
0;1;1;0;0;0;
1;1;0;1;0;0;
0;0;0;1;0;0;

Teacher 2
0;0;0;1;0;0;
0;0;1;1;0;0;
0;0;1;1;1;1;
0;0;0;1;0;0;
0;0;0;1;0;0;
0;0;0;0;0;0;

Teacher 3
0;0;0;0;1;0;
0;0;0;0;0;0;
1;0;0;1;0;0;
0;1;0;0;0;1;
0;0;0;0;0;0;
1;1;1;1;0;0;

Teacher 6
0;1;0;0;0;0;
0;0;0;0;0;0;
1;1;0;1;0;0;
0;0;1;0;1;0;
0;1;1;0;0;0;
0;0;0;0;0;0;

Teacher 4
1;0;0;1;0;0;
0;1;0;0;0;0;
0;1;0;0;0;0;
0;0;0;0;0;0;
1;0;0;0;0;0;
0;0;0;0;1;0;

Teacher 5
0;0;0;0;0;0;
1;1;1;0;0;0;
0;0;1;0;0;0;
0;0;0;0;0;0;
0;0;0;0;0;1;
0;0;0;0;0;0;

Last:


Group 1
0;0;0;1;1;0;
1;0;0;1;1;0;
0;0;0;0;1;1;
0;0;0;0;1;0;
0;0;0;0;0;1;
0;0;0;0;0;0;

Group 2
0;1;0;0;0;0;
1;0;1;0;0;0;
1;1;1;0;1;0;
1;0;1;0;1;0;
0;0;0;0;1;0;
0;0;0;0;0;0;

Group 3
0;0;1;1;0;1;
0;1;1;1;0;1;
1;1;1;0;0;0;
0;1;1;0;1;0;
0;1;1;0;1;0;
0;0;1;0;1;0;

Group 4
0;0;1;0;0;0;
0;0;1;0;1;1;
0;0;1;0;1;1;
0;0;0;0;1;0;
0;1;0;0;1;0;
0;0;0;0;0;0;

Teacher 1
0;0;1;0;0;1;
1;0;1;0;0;0;
1;0;0;0;1;1;
0;0;1;0;1;0;
0;0;0;0;1;0;
0;0;0;0;1;0;

Teacher 2
0;0;0;1;0;0;
1;0;1;1;1;0;
1;0;1;0;1;0;
0;0;0;0;1;0;
0;0;0;0;0;0;
0;0;0;0;0;0;

Teacher 3
0;0;1;0;1;0;
0;0;1;0;1;1;
0;0;1;0;0;0;
1;0;1;0;0;0;
0;0;0;0;0;1;
0;0;0;0;0;0;

Teacher 6
0;1;0;0;0;0;
0;1;0;0;0;1;
0;1;1;0;0;1;
0;0;0;0;0;0;
0;0;1;0;0;0;
0;0;1;0;0;0;

Teacher 4
0;0;0;0;0;0;
0;0;0;0;0;0;
0;1;0;0;1;0;
0;1;0;0;1;0;
0;1;0;0;1;0;
0;0;0;0;0;0;

Teacher 5
0;0;0;1;0;0;
0;0;0;1;0;0;
0;0;0;0;0;0;
0;0;0;0;1;0;
0;1;0;0;1;0;
0;0;0;0;0;0;

First:


Group 1
1;0;1;1;0;0;
0;0;1;0;0;0;
0;0;0;0;0;0;
0;1;0;0;1;0;
0;0;1;0;0;1;
0;0;1;0;0;0;

Group 2
1;0;0;1;0;1;
1;1;1;0;0;0;
1;0;0;0;0;0;
1;0;0;0;0;0;
0;1;0;1;0;0;
0;0;1;0;0;0;

Group 3
1;1;0;1;0;0;
0;1;0;0;0;1;
1;1;1;0;1;0;
0;1;1;0;0;0;
0;0;1;1;1;1;
0;1;0;1;1;0;

Group 4
0;0;0;0;0;0;
0;0;1;0;0;1;
1;0;0;0;1;1;
0;0;1;1;0;0;
0;0;0;1;0;0;
1;1;0;0;0;0;

Teacher 1
1;1;1;1;0;0;
0;0;1;0;0;0;
0;0;0;0;1;0;
0;1;0;0;1;0;
0;0;1;0;0;1;
0;0;1;0;0;0;

Teacher 2
1;0;0;0;0;0;
0;0;0;0;0;1;
1;0;0;0;0;0;
0;1;1;0;0;0;
0;0;0;1;1;0;
1;0;1;0;0;0;

Teacher 3
0;0;0;1;0;0;
0;0;1;0;0;0;
1;1;0;0;1;0;
1;0;0;1;0;0;
0;1;1;0;0;0;
0;0;0;0;0;0;

Teacher 6
1;0;0;0;0;0;
1;0;1;0;0;1;
0;0;1;0;0;0;
0;0;0;0;0;0;
0;0;0;1;0;1;
0;0;0;0;1;0;

Teacher 4
0;0;0;0;0;1;
0;1;0;0;0;0;
0;0;0;0;0;1;
0;0;1;0;0;0;
0;0;0;0;0;0;
0;1;0;1;0;0;

Teacher 5
0;0;0;1;0;0;
0;1;0;0;0;0;
1;0;0;0;0;0;
0;0;0;0;0;0;
0;0;0;1;0;0;
0;1;0;0;0;0;

Last:


Group 1
0;0;0;0;0;0;
0;0;0;0;0;0;
0;1;1;0;0;1;
0;0;1;0;0;1;
0;1;0;0;1;0;
1;0;0;0;1;0;

Group 2
0;0;0;0;0;1;
0;0;1;0;0;1;
0;0;1;1;0;0;
0;1;0;1;1;0;
0;1;0;1;1;0;
0;0;0;0;0;0;

Group 3
0;1;0;0;0;0;
0;1;1;1;0;0;
0;1;1;1;1;1;
0;0;1;1;1;1;
1;0;0;1;0;1;
1;0;0;0;1;0;

Group 4
0;1;0;0;1;0;
0;1;0;1;1;1;
0;0;0;1;0;1;
0;1;0;1;0;0;
0;0;0;0;0;0;
0;0;0;0;0;0;

Teacher 1
0;1;0;0;0;0;
0;1;1;1;0;0;
0;1;1;1;0;0;
0;0;1;0;0;0;
0;0;0;0;1;0;
1;0;0;0;1;0;

Teacher 2
0;0;0;0;0;1;
0;1;0;0;0;1;
0;1;0;0;0;1;
0;0;0;0;0;0;
1;0;0;0;1;0;
1;0;0;0;1;0;

Teacher 3
0;0;0;0;0;0;
0;0;0;1;0;0;
0;0;0;1;0;1;
